AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,region
1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,2015,Albany
1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,2015,Albany
0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,2015,Albany
1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,2015,Albany
1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,2015,Albany
1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,2015,Albany
0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,2015,Albany
0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,2015,Albany
1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,2015,Albany
0.97,113028.45,37271.13,32720.2,169.65,42867.47,41615.1,1252.37,0,2016,Roanoke
0.96,139668.9,45215.02,50007.46,72.4,44374.02,43175.63,1198.39,0,2016,Roanoke
0.96,156283.99,52022.38,55818.44,140.42,48302.75,48248.66,54.09,0,2016,Roanoke
0.99,139661.75,37199.87,57106.77,147.59,45207.52,44871.77,335.75,0,2016,Roanoke
0.98,142026.9,49400.9,51284.91,111.04,41230.05,39867.65,1362.4,0,2016,Roanoke
0.99,135623.05,52420.43,48195.34,149.25,34858.03,33709.28,1148.75,0,2016,Roanoke
0.98,115875.65,32921.58,45911.67,102.37,36940.03,33666.7,3273.33,0,2016,Roanoke
0.9,159758.46,47759.39,55674.85,185.96,56138.26,52052.28,4085.98,0,2016,Roanoke
0.91,198011.31,60920.14,79535.27,179.28,57376.62,53859.35,3517.27,0,2016,Roanoke
0.99,121477.84,32756.64,52095.37,135.09,36490.74,34167.03,2323.71,0,2016,Roanoke
1.88,431277.46,101821.26,168223.74,648.37,160584.09,96743.5,62936.39,904.2,2017,Seattle
