AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.01,1090140.07,110737.35,11829.59,conventional,2015,California
0.94,4695737.21,1676601.43,1543280.76,266689.82,1209165.2,1061703.58,136747.1,10714.52,conventional,2015,California
0.87,5259354.3,1806690.08,1627240.76,232985.13,1592438.33,1404012.0,180150.37,8275.96,conventional,2015,California
0.78,5775536.27,1943065.5,2100246.17,221957.26,1510267.34,1376640.91,126664.37,6962.06,conventional,2015,California
0.91,4575710.62,1461699.38,1810202.7,222311.07,1081497.47,991568.84,82338.39,7590.24,conventional,2015,California
0.92,4804278.16,1602215.57,1917124.52,215632.16,1069305.91,979612.52,82444.32,7249.07,conventional,2015,California
0.83,5755190.69,2243013.44,2164098.99,195159.32,1152918.94,1091768.68,53797.92,7352.34,conventional,2015,California
0.98,5148983.51,2317858.81,1758964.54,216523.58,855636.58,813006.4,36305.96,6324.22,conventional,2015,California
0.95,5830427.96,2369824.75,2596785.28,211901.97,651915.96,626993.54,19804.69,5117.73,conventional,2015,California
1.12,4592461.81,1733791.31,2025016.15,215622.63,618031.72,606392.86,7596.27,4042.59,conventional,2015,California
1.07,4999031.79,1847991.31,2286235.79,217814.17,646990.52,633893.61,10780.32,2316.59,conventional,2015,California
1.08,5063309.38,1757211.58,2530023.18,221032.74,555041.88,533478.03,18373.18,3190.67,conventional,2015,California
1.02,4943781.29,1461112.39,2788317.94,222260.58,472090.38,442923.78,25572.26,3594.34,conventional,2015,California
1.04,5216784.63,1860050.39,2635028.38,206460.07,515245.79,496867.66,13336.34,5041.79,conventional,2015,California
1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.77,529779.37,17303.91,5126.49,conventional,2015,California
1.13,5106508.12,1863270.81,2388023.33,270794.34,584419.64,502056.88,76297.56,6065.2,conventional,2015,California
1.09,5806392.78,2859325.91,2077193.6,240185.0,629688.27,591629.83,33545.37,4513.07,conventional,2015,California
1.08,5647385.15,3104607.82,1660274.32,233027.36,649475.65,640600.64,5989.25,2885.76,conventional,2015,California
1.18,5193221.0,2626977.95,1798911.33,222082.91,545248.81,535183.95,6573.5,3491.36,conventional,2015,California
1.11,5616434.08,3098708.55,1731349.0,208724.73,577651.8,572197.46,2081.96,3372.38,conventional,2015,California
1.1,6232081.27,3260775.73,2196704.97,193831.6,580768.97,570728.54,7356.84,2683.59,conventional,2015,California
1.16,5428238.87,2940145.82,1737845.94,183471.03,566776.08,559587.76,4953.57,2234.75,conventional,2015,California
1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.54,590750.1,5181.16,2676.28,conventional,2015,California
1.18,5225200.52,2805887.74,1629871.75,188207.47,601233.56,577736.96,20673.8,2822.8,conventional,2015,California
1.13,5451636.92,2747299.98,1923893.11,157478.05,622965.78,601358.64,18032.41,3574.73,conventional,2015,California
1.12,6718011.83,3581149.88,2120303.06,254187.47,762371.42,731692.08,27317.19,3362.15,conventional,2015,California
1.1,5641742.02,3163839.74,1610910.07,212173.21,654819.0,630301.44,21861.54,2656.02,conventional,2015,California
1.07,5952597.29,3328631.93,1743509.25,218423.77,662032.34,634244.68,24277.53,3510.13,conventional,2015,California
0.97,6741662.31,4075881.34,1771908.98,210670.82,683201.17,657421.42,22961.19,2818.56,conventional,2015,California
0.98,6374842.9,3614314.44,1860329.3,221330.48,678868.68,651944.51,23422.39,3501.78,conventional,2015,California
0.98,6236903.31,3620440.35,1826496.62,209443.33,580523.01,554224.64,23083.08,3215.29,conventional,2015,California
1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.93,546420.69,24485.84,3213.4,conventional,2015,California
