year,Month Week,region,AveragePrice,Total Volume,Total Singles,Total Bags,type
2015,12/27,Albany,1.33,64236,55539,8696,conventional
2015,12/20,Albany,1.35,54876,45371,9505,conventional
2015,12/13,Albany,0.93,118220,110074,8145,conventional
2015,12/06,Albany,1.08,78992,73180,5811,conventional
2015,11/29,Albany,1.28,51039,44855,6183,conventional
2015,11/22,Albany,1.26,55979,49295,6683,conventional
2015,11/15,Albany,0.99,83453,75134,8318,conventional
2015,11/08,Albany,0.98,109428,102599,6829,conventional
2015,11/01,Albany,1.02,99811,88423,11388,conventional
2015,10/25,Albany,1.07,74338,65712,8625,conventional
2015,10/18,Albany,1.12,84843,76637,8205,conventional
2015,10/11,Albany,1.28,64489,54365,10123,conventional
2015,10/04,Albany,1.31,61007,52250,8756,conventional
2015,09/27,Albany,0.99,106803,100768,6034,conventional
2015,09/20,Albany,1.33,69759,60491,9267,conventional
2015,09/13,Albany,1.28,76111,66824,9286,conventional
2015,09/06,Albany,1.11,99172,91182,7990,conventional
2015,08/30,Albany,1.07,105693,95387,10306,conventional
2015,08/23,Albany,1.34,79992,69111,10880,conventional
2015,08/16,Albany,1.33,80043,69600,10443,conventional
2015,08/09,Albany,1.12,111140,101915,9225,conventional
2015,08/02,Albany,1.45,75133,63286,11847,conventional
2015,07/26,Albany,1.11,106757,93564,13192,conventional
2015,07/19,Albany,1.26,96617,85329,11287,conventional
2015,07/12,Albany,1.05,124055,99623,24431,conventional
2015,07/05,Albany,1.35,109252,79353,29898,conventional
2015,06/28,Albany,1.37,89534,62872,26662,conventional
2015,06/21,Albany,1.27,104849,82973,21875,conventional
2015,06/14,Albany,1.32,89631,60628,29002,conventional
2015,06/07,Albany,1.07,122743,99967,22775,conventional
2015,05/31,Albany,1.23,95123,71442,23681,conventional
2015,05/24,Albany,1.19,101470,72115,29355,conventional
2015,05/17,Albany,1.43,109857,83200,26657,conventional
2015,05/10,Albany,1.26,120427,103606,16821,conventional
2015,05/03,Albany,1.2,59197,46627,12570,conventional
2015,04/26,Albany,1.22,49585,36807,12778,conventional
2015,04/19,Albany,1.19,49064,34762,14301,conventional
2015,04/12,Albany,1.13,48364,31259,17104,conventional
2015,04/05,Albany,1.16,47362,36633,10728,conventional
2015,03/29,Albany,1.02,67799,60115,7684,conventional
2015,03/22,Albany,1.12,46346,36597,9749,conventional
2015,03/15,Albany,1.11,43045,32675,10370,conventional
2015,03/08,Albany,1.07,40507,31325,9181,conventional
2015,03/01,Albany,0.99,55595,46444,9151,conventional
2015,02/22,Albany,1.07,45675,36295,9379,conventional
2015,02/15,Albany,1.06,41567,31254,10313,conventional
2015,02/08,Albany,0.99,51253,40632,10621,conventional
2015,02/01,Albany,0.99,70873,61550,9323,conventional
2015,01/25,Albany,1.06,45147,34301,10845,conventional
2015,01/18,Albany,1.17,44511,32590,11921,conventional
2015,01/11,Albany,1.24,41195,32770,8424,conventional
2015,01/04,Albany,1.22,40873,31156,9716,conventional
2015,12/27,Atlanta,0.99,386100,319746,66354,conventional
2015,12/20,Atlanta,1.08,331377,272579,58797,conventional
2015,12/13,Atlanta,0.96,417772,356227,61545,conventional
2015,12/06,Atlanta,1.07,357636,306946,50690,conventional
2015,11/29,Atlanta,0.99,333280,279486,53794,conventional
2015,11/22,Atlanta,1.0,356414,300032,56382,conventional
2015,11/15,Atlanta,1.13,339860,292814,47046,conventional
2015,11/08,Atlanta,1.12,334041,285412,48628,conventional
2015,11/01,Atlanta,0.99,419088,353690,65398,conventional
2015,10/25,Atlanta,1.09,358478,301726,56751,conventional
