year,Month Week,region,AveragePrice,4046,4225,4770,Small Bags,Large Bags,XLarge Bags,Season,Total Small Avocados,Total Large Avocados,Total XLarge Avocados,type_organic
2015,12/27,Albany,1.33,1036,54454,48,8603,93,0,Winter,9639,54547,48,False
2015,12/20,Albany,1.35,674,44638,58,9408,97,0,Winter,10082,44735,58,False
2015,12/13,Albany,0.93,794,109149,130,8042,103,0,Winter,8836,109252,130,False
2015,12/06,Albany,1.08,1132,71976,72,5677,133,0,Winter,6809,72109,72,False
2015,11/29,Albany,1.28,941,43838,75,5986,197,0,Fall,6927,44035,75,False
2015,11/22,Albany,1.26,1184,48067,43,6556,127,0,Fall,7740,48194,43,False
2015,11/15,Albany,0.99,1368,73672,93,8196,122,0,Fall,9564,73794,93,False
2015,11/08,Albany,0.98,703,101815,80,6266,562,0,Fall,6969,102377,80,False
2015,11/01,Albany,1.02,1022,87315,85,11104,283,0,Fall,12126,87598,85,False
2015,10/25,Albany,1.07,842,64757,113,8061,564,0,Fall,8903,65321,113,False
2015,10/18,Albany,1.12,924,75595,117,7877,327,0,Fall,8801,75922,117,False
2015,10/11,Albany,1.28,1582,52677,105,9866,257,0,Fall,11448,52934,105,False
2015,10/04,Albany,1.31,2268,49880,101,8379,376,0,Fall,10647,50256,101,False
2015,09/27,Albany,0.99,1204,99409,154,5888,145,0,Fall,7092,99554,154,False
2015,09/20,Albany,1.33,1028,59313,150,8489,778,0,Fall,9517,60091,150,False
2015,09/13,Albany,1.28,985,65696,142,8665,621,0,Fall,9650,66317,142,False
2015,09/06,Albany,1.11,879,90062,240,7762,227,0,Fall,8641,90289,240,False
2015,08/30,Albany,1.07,689,94362,335,10218,87,0,Summer,10907,94449,335,False
2015,08/23,Albany,1.34,733,67933,444,10745,134,0,Summer,11478,68067,444,False
2015,08/16,Albany,1.33,539,68666,394,10297,145,0,Summer,10836,68811,394,False
2015,08/09,Albany,1.12,584,100961,368,9116,109,0,Summer,9700,101070,368,False
2015,08/02,Albany,1.45,509,62035,741,11768,78,0,Summer,12277,62113,741,False
2015,07/26,Albany,1.11,648,91949,966,13061,131,0,Summer,13709,92080,966,False
2015,07/19,Albany,1.26,1042,82049,2238,11103,183,0,Summer,12145,82232,2238,False
